"Dataset","Run","Algorithm","Accuracy","Precision","Recall"
"Dataset_6",1,"Gradient Boosting",0.801588139944893,0.808266198794877,0.772408725374154
"Dataset_7",1,"Gradient Boosting",0.826889685996614,0.835118284408929,0.825863728274107
"Dataset_8",1,"Gradient Boosting",0.798826837316885,0.798166114131365,0.788288333794373
"Dataset_9",1,"Gradient Boosting",0.839309201600569,0.789991237725368,0.835363904219043
"Dataset_10",1,"Gradient Boosting",0.79876257426699,0.850191737184322,0.78617099941327
"Dataset_1",2,"Gradient Boosting",0.84158134396738,0.837475358818016,0.82490447235668
"Dataset_2",2,"Gradient Boosting",0.778524689800018,0.791548555431771,0.790099137292347
"Dataset_3",2,"Gradient Boosting",0.772195342657257,0.777670672477988,0.750443728375718
"Dataset_4",2,"Gradient Boosting",0.9,0.9,0.9
"Dataset_5",2,"Gradient Boosting",0.797494272355187,0.813847461282669,0.773770140648912
"Dataset_6",2,"Gradient Boosting",0.818946827746222,0.814750964321651,0.820968410774127
"Dataset_7",2,"Gradient Boosting",0.829097090221016,0.836660445665186,0.839756875957545
"Dataset_8",2,"Gradient Boosting",0.795486581228738,0.77657840460626,0.80722128801059
"Dataset_9",2,"Gradient Boosting",0.825505861329408,0.842644321547395,0.819470928052081
"Dataset_10",2,"Gradient Boosting",0.821068935821553,0.811848169043865,0.822658975728121
"Dataset_1",3,"Gradient Boosting",0.803538584770749,0.851874051846513,0.822763867806943
"Dataset_2",3,"Gradient Boosting",0.81195879100576,0.778937813091996,0.782829472664231
"Dataset_3",3,"Gradient Boosting",0.808977982387846,0.799698237528526,0.793343188157205
"Dataset_4",3,"Gradient Boosting",0.873853556970486,0.89036115422567,0.880261603256818
"Dataset_5",3,"Gradient Boosting",0.787759917111815,0.797962568049388,0.778864277545075
"Dataset_6",3,"Gradient Boosting",0.77712011198776,0.76533049121746,0.80452019186718
"Dataset_7",3,"Gradient Boosting",0.811133651975132,0.791198037130982,0.824598729242229
"Dataset_8",3,"Gradient Boosting",0.819314422483294,0.822203936577508,0.820757757531589
"Dataset_9",3,"Gradient Boosting",0.823095704367306,0.822809556103967,0.792940558016572
"Dataset_10",3,"Gradient Boosting",0.796249040018667,0.760443415273386,0.796771044525192
"Dataset_1",4,"Gradient Boosting",0.778100215980864,0.778791237323541,0.771771898616924
"Dataset_2",4,"Gradient Boosting",0.847895555282685,0.851700161596534,0.845848625012273
"Dataset_3",4,"Gradient Boosting",0.799510488361393,0.80300501630103,0.77587930382028
"Dataset_4",4,"Gradient Boosting",0.784034614120399,0.762934273268345,0.794007774996997
"Dataset_5",4,"Gradient Boosting",0.802911612931767,0.81243427849782,0.782132484125627
"Dataset_6",4,"Gradient Boosting",0.804084723169543,0.831656125908728,0.799560283540695
"Dataset_7",4,"Gradient Boosting",0.843297608691409,0.852422336755005,0.850926125280436
"Dataset_8",4,"Gradient Boosting",0.812542118765916,0.789830349358429,0.796871802985655
"Dataset_9",4,"Gradient Boosting",0.832621613555536,0.823908704161698,0.844281441669137
"Dataset_10",4,"Gradient Boosting",0.795021239484832,0.801943311875904,0.768691031451798
"Dataset_1",5,"Gradient Boosting",0.816433359287448,0.803492446661083,0.760237865708237
"Dataset_2",5,"Gradient Boosting",0.800259422655275,0.757106495954969,0.809558782470992
"Dataset_3",5,"Gradient Boosting",0.812837505845207,0.830522522245771,0.829648302384427
"Dataset_4",5,"Gradient Boosting",0.783139099260674,0.766549547028183,0.777422190788846
"Dataset_5",5,"Gradient Boosting",0.770675954000161,0.759204748584795,0.780758479091993
"Dataset_6",5,"Gradient Boosting",0.869916401542439,0.89999441372253,0.846798071040766
"Dataset_7",5,"Gradient Boosting",0.828021264710173,0.812538366118065,0.825478292573659
"Dataset_8",5,"Gradient Boosting",0.772461859151252,0.789376489955038,0.733631491630439
"Dataset_9",5,"Gradient Boosting",0.791665022499587,0.766451364923212,0.815288640328358
"Dataset_10",5,"Gradient Boosting",0.774435597462081,0.767344749400601,0.811633814692944
