Month,BranchCounty,TotalRevenue,NumberOfOrders,AvgOrderValue
2022-03,Uasin Gishu,1534.15,5,306.830000
2022-04,Kisumu,52.05,2,26.025000
2022-04,Mombasa,445.08,3,148.360000
2022-04,Nairobi,10018.18,38,256.876410
2022-04,Nakuru,1729.25,2,864.625000
2022-04,Nyeri,283.40,1,283.400000
2022-05,Mombasa,764.23,5,152.846000
2022-05,Nairobi,18847.12,50,362.444615
2022-05,Nakuru,1682.50,4,420.625000
2022-05,Nyeri,1121.24,3,373.746667
2022-05,Uasin Gishu,368.84,3,122.946667
2022-06,Kisumu,1351.62,4,337.905000
2022-06,Mombasa,286.83,1,286.830000
2022-06,Nairobi,20102.63,53,372.270926
2022-06,Nakuru,1916.42,6,319.403333
2022-06,Nyeri,880.18,3,293.393333
2022-06,Uasin Gishu,440.32,2,220.160000
2022-07,Kisumu,84.76,1,84.760000
2022-07,Mombasa,1278.48,2,639.240000
2022-07,Nairobi,19520.98,49,390.419600
2022-07,Nakuru,183.99,1,183.990000
2022-07,Nyeri,2673.78,5,534.756000
2022-07,Uasin Gishu,3214.31,10,267.859167
2022-08,Kisumu,3652.57,3,1217.523333
2022-08,Mombasa,124.33,1,124.330000
2022-08,Nairobi,16842.06,56,295.474737
2022-08,Nakuru,233.21,1,233.210000
2022-08,Nyeri,2419.92,5,403.320000
2022-08,Uasin Gishu,57.30,1,57.300000
2022-09,Kisumu,869.42,4,217.355000
2022-09,Mombasa,540.23,3,180.076667
2022-09,Nairobi,28235.15,66,409.205072
2022-09,Nakuru,399.77,2,199.885000
2022-09,Nyeri,1496.10,5,299.220000
2022-09,Uasin Gishu,390.45,3,130.150000
2022-10,Kisumu,1064.76,4,266.190000
2022-10,Mombasa,1301.21,2,650.605000
2022-10,Nairobi,20184.05,61,325.549194
2022-10,Nakuru,2101.26,5,420.252000
2022-10,Nyeri,3809.35,10,380.935000
2022-10,Uasin Gishu,3888.40,9,432.044444
2022-11,Kisumu,2193.78,6,365.630000
2022-11,Mombasa,3243.70,5,540.616667
2022-11,Nairobi,30896.68,62,490.423492
2022-11,Nakuru,962.54,5,192.508000
2022-11,Nyeri,2501.33,7,357.332857
2022-11,Uasin Gishu,354.86,1,354.860000
2022-12,Kisumu,3788.44,7,473.555000
2022-12,Mombasa,1006.02,4,251.505000
2022-12,Nairobi,30489.26,87,335.046813
2022-12,Nakuru,274.79,2,137.395000
2022-12,Nyeri,2304.11,6,384.018333
2022-12,Uasin Gishu,2413.04,5,482.608000
2023-01,Kisumu,1302.03,5,260.406000
2023-01,Mombasa,819.09,4,204.772500
2023-01,Nairobi,27710.38,80,329.885476
2023-01,Nakuru,1916.00,5,383.200000
2023-01,Nyeri,3217.40,8,402.175000
2023-01,Uasin Gishu,1119.99,1,1119.990000
2023-02,Kisumu,1844.72,3,461.180000
2023-02,Mombasa,1979.96,4,494.990000
2023-02,Nairobi,24897.69,76,327.601184
2023-02,Nakuru,1700.75,5,340.150000
2023-02,Nyeri,229.49,2,114.745000
2023-02,Uasin Gishu,2093.56,4,523.390000
2023-03,Kisumu,2566.90,7,366.700000
2023-03,Mombasa,485.31,2,242.655000
2023-03,Nairobi,32455.61,95,331.179694
2023-03,Nakuru,1376.11,6,196.587143
2023-03,Nyeri,1070.86,4,267.715000
2023-03,Uasin Gishu,2082.47,5,416.494000
2023-04,Kisumu,2711.98,10,246.543636
2023-04,Mombasa,3394.05,7,424.256250
2023-04,Nairobi,30353.94,100,297.587647
2023-04,Nakuru,4086.70,9,408.670000
2023-04,Nyeri,1243.16,3,310.790000
2023-04,Uasin Gishu,1039.57,5,207.914000
2023-05,Kisumu,3000.16,6,500.026667
2023-05,Mombasa,2039.02,7,291.288571
2023-05,Nairobi,30000.29,96,297.032574
2023-05,Nakuru,1099.72,7,157.102857
2023-05,Nyeri,2626.23,4,525.246000
2023-05,Uasin Gishu,658.68,4,164.670000
2023-06,Kisumu,2870.16,10,287.016000
2023-06,Mombasa,3024.22,7,432.031429
2023-06,Nairobi,24699.81,97,252.038878
2023-06,Nakuru,2118.10,6,353.016667
2023-06,Nyeri,4639.44,8,579.930000
2023-06,Uasin Gishu,3029.44,8,336.604444
2023-07,Kisumu,938.52,6,156.420000
2023-07,Mombasa,2431.86,4,607.965000
2023-07,Nairobi,40957.11,106,372.337364
2023-07,Nakuru,2137.04,8,267.130000
2023-07,Nyeri,859.30,3,286.433333
2023-07,Uasin Gishu,1799.82,6,299.970000
2023-08,Kisumu,2497.17,8,312.146250
2023-08,Mombasa,1752.95,6,292.158333
2023-08,Nairobi,29872.55,109,266.719196
2023-08,Nakuru,4519.22,11,410.838182
2023-08,Nyeri,2413.94,5,482.788000
2023-08,Uasin Gishu,2051.13,8,256.391250
2023-09,Kisumu,1769.82,10,176.982000
2023-09,Mombasa,7518.67,8,939.833750
2023-09,Nairobi,37852.65,105,344.115000
2023-09,Nakuru,870.09,4,217.522500
2023-09,Nyeri,1787.15,4,446.787500
2023-09,Uasin Gishu,2192.64,9,243.626667
2023-10,Kisumu,1390.34,7,198.620000
2023-10,Mombasa,1892.27,8,236.533750
2023-10,Nairobi,36979.47,116,310.751849
2023-10,Nakuru,3160.08,8,351.120000
2023-10,Nyeri,2822.94,10,256.630909
2023-10,Uasin Gishu,5914.62,10,591.462000
2023-11,Kisumu,2986.44,10,298.644000
2023-11,Mombasa,1435.11,6,205.015714
2023-11,Nairobi,40712.85,136,288.743617
2023-11,Nakuru,3102.85,11,282.077273
2023-11,Nyeri,699.34,2,349.670000
2023-11,Uasin Gishu,2776.14,9,277.614000
2023-12,Kisumu,3399.71,10,309.064545
2023-12,Mombasa,5820.30,7,727.537500
2023-12,Nairobi,46526.49,141,316.506735
2023-12,Nakuru,2950.40,7,421.485714
2023-12,Nyeri,1862.99,5,310.498333
2023-12,Uasin Gishu,3937.33,9,393.733000
2024-01,Kisumu,647.04,7,92.434286
2024-01,Mombasa,4601.23,16,287.576875
2024-01,Nairobi,43470.91,144,295.720476
2024-01,Nakuru,3426.40,9,380.711111
2024-01,Nyeri,4344.92,12,362.076667
2024-01,Uasin Gishu,1319.25,8,146.583333
2024-02,Kisumu,2525.37,11,210.447500
2024-02,Mombasa,3385.43,6,564.238333
2024-02,Nairobi,45984.40,148,296.673548
2024-02,Nakuru,4839.54,14,345.681429
2024-02,Nyeri,3353.86,11,257.989231
2024-02,Uasin Gishu,1203.58,8,133.731111
2024-03,Kisumu,2076.59,14,138.439333
2024-03,Mombasa,4472.49,11,319.463571
2024-03,Nairobi,55771.35,162,328.066765
2024-03,Nakuru,2056.60,7,293.800000
2024-03,Nyeri,4281.46,8,535.182500
2024-03,Uasin Gishu,2514.43,14,179.602143
2024-04,Kisumu,6012.38,14,429.455714
2024-04,Mombasa,4148.15,10,414.815000
2024-04,Nairobi,60220.61,171,334.558944
2024-04,Nakuru,3605.71,13,277.362308
2024-04,Nyeri,4743.62,12,338.830000
2024-04,Uasin Gishu,7141.70,13,549.361538
2024-05,Kisumu,5005.04,12,417.086667
2024-05,Mombasa,6085.59,16,380.349375
2024-05,Nairobi,65275.36,184,336.470928
2024-05,Nakuru,3200.93,12,246.225385
2024-05,Nyeri,5000.37,11,454.579091
2024-05,Uasin Gishu,1104.09,8,138.011250
2024-06,Kisumu,5307.05,9,589.672222
2024-06,Mombasa,2499.55,12,208.295833
2024-06,Nairobi,61065.56,164,357.108538
2024-06,Nakuru,6992.72,21,317.850909
2024-06,Nyeri,3472.65,7,496.092857
2024-06,Uasin Gishu,2200.32,9,220.032000
2024-07,Kisumu,6396.52,11,581.501818
2024-07,Mombasa,1444.78,11,120.398333
2024-07,Nairobi,68595.85,202,331.380918
2024-07,Nakuru,4230.07,10,423.007000
2024-07,Nyeri,1645.12,7,235.017143
2024-07,Uasin Gishu,6527.06,15,407.941250
2024-08,Kisumu,4005.81,12,333.817500
2024-08,Mombasa,4004.62,12,333.718333
2024-08,Nairobi,79177.46,213,356.655225
2024-08,Nakuru,3161.83,13,243.217692
2024-08,Nyeri,6003.61,16,375.225625
2024-08,Uasin Gishu,3806.86,15,253.790667
2024-09,Kisumu,5564.79,15,309.155000
2024-09,Mombasa,5626.78,19,281.339000
2024-09,Nairobi,80516.62,235,324.663790
2024-09,Nakuru,1974.40,9,179.490909
2024-09,Nyeri,5737.52,11,521.592727
2024-09,Uasin Gishu,5635.40,14,402.528571
2024-10,Kisumu,8664.79,22,361.032917
2024-10,Mombasa,5576.91,13,428.993077
2024-10,Nairobi,74601.53,245,290.278327
2024-10,Nakuru,4730.97,17,278.292353
2024-10,Nyeri,3262.90,11,296.627273
2024-10,Uasin Gishu,6669.65,21,317.602381
2024-11,Kisumu,5139.85,13,367.132143
2024-11,Mombasa,3670.98,13,282.383077
2024-11,Nairobi,79799.77,240,319.199080
2024-11,Nakuru,6683.26,15,417.703750
2024-11,Nyeri,4577.29,11,416.117273
2024-11,Uasin Gishu,6795.30,17,399.723529
2024-12,Kisumu,4448.31,15,278.019375
2024-12,Mombasa,7131.17,24,297.132083
2024-12,Nairobi,92936.88,256,334.305324
2024-12,Nakuru,8619.49,22,374.760435
2024-12,Nyeri,5807.92,15,362.995000
2024-12,Uasin Gishu,6370.40,14,455.028571
2025-01,Kisumu,8545.63,23,356.067917
2025-01,Mombasa,12825.65,32,366.447143
2025-01,Nairobi,99705.39,266,343.811690
2025-01,Nakuru,6749.71,22,269.988400
2025-01,Nyeri,8388.41,14,599.172143
2025-01,Uasin Gishu,8660.38,24,346.415200
2025-02,Kisumu,6032.19,16,301.609500
2025-02,Mombasa,7885.08,25,292.040000
2025-02,Nairobi,105819.65,287,341.353710
2025-02,Nakuru,3284.93,11,252.686923
2025-02,Nyeri,7300.12,10,730.012000
2025-02,Uasin Gishu,10639.11,26,394.041111
2025-03,Kisumu,9004.88,18,473.941053
2025-03,Mombasa,10612.55,29,353.751667
2025-03,Nairobi,125908.34,366,297.655650
2025-03,Nakuru,11313.92,20,514.269091
2025-03,Nyeri,8162.66,21,354.898261
2025-03,Uasin Gishu,6761.93,23,270.477200
2025-04,Kisumu,8886.42,26,306.428276
2025-04,Mombasa,11753.83,28,356.176667
2025-04,Nairobi,138562.57,375,309.291451
2025-04,Nakuru,7823.09,17,391.154500
2025-04,Nyeri,12336.12,31,342.670000
2025-04,Uasin Gishu,7054.04,19,306.697391
2025-05,Kisumu,13476.27,36,245.023091
2025-05,Mombasa,6997.86,25,249.923571
2025-05,Nairobi,191877.70,424,318.733721
2025-05,Nakuru,10344.12,24,313.458182
2025-05,Nyeri,19119.93,29,374.900588
2025-05,Uasin Gishu,11108.55,27,308.570833
